5
1000 2997
Q 871 349
U 117 455
Q 863 48
U 861 756
Q 490 9
U 950 941
Q 12 917
U 608 755
Q 177 686
U 511 145
Q 300 101
U 892 903
Q 89 379
U 52 59
Q 903 741
U 370 774
Q 443 839
U 230 306
Q 888 443
U 415 378
Q 804 365
U 671 816
Q 634 631
U 571 163
Q 670 434
U 308 970
Q 536 553
U 873 625
Q 932 925
U 685 187
Q 18 407
U 314 813
Q 246 544
U 472 134
Q 339 887
U 864 143
Q 604 888
U 959 238
Q 519 882
U 753 189
Q 669 61
U 159 205
Q 614 384
U 182 898
Q 661 219
U 438 680
Q 626 752
U 493 225
Q 648 965
U 711 987
Q 852 576
U 482 808
Q 464 793
U 46 983
Q 27 151
U 525 696
Q 213 684
U 253 179
Q 421 436
U 430 82
Q 7 220
U 762 986
Q 972 608
U 211 620
Q 925 922
U 959 130
Q 850 441
U 938 666
Q 234 337
U 2 261
Q 488 527
U 310 53
Q 563 563
U 233 984
Q 351 15
U 67 359
Q 235 181
U 697 559
Q 141 908
U 531 67
Q 182 490
U 197 385
Q 283 487
U 51 869
Q 824 53
U 482 313
Q 932 792
U 366 496
Q 708 951
U 480 59
Q 318 899
U 770 905
Q 433 467
U 464 574
Q 375 995
U 641 910
Q 837 190
U 295 120
Q 678 698
U 341 854
Q 752 824
U 167 684
Q 968 886
U 532 676
Q 189 365
U 736 508
Q 264 506
U 765 49
Q 974 230
U 624 701
Q 577 617
U 963 415
Q 160 610
U 887 190
Q 309 229
U 44 413
Q 405 212
U 449 373
Q 450 982
U 402 639
Q 699 138
U 499 315
Q 996 265
U 365 322
Q 847 341
U 376 424
Q 958 339
U 191 470
Q 302 431
U 660 963
Q 12 705
U 376 417
Q 269 177
U 142 71
Q 511 544
U 710 210
Q 34 562
U 526 383
Q 179 891
U 705 26
Q 584 81
U 802 894
Q 773 994
U 365 427
Q 425 25
U 390 789
1000 2997
U 0 0
Q 0 0
Q 0 536
U 0 1
Q 0 1
Q 1 845
U 1 2
Q 2 1
Q 0 793
U 1 3
Q 2 0
Q 0 750
U 1 4
Q 0 4
Q 0 119
U 4 5
Q 1 5
Q 3 617
U 0 6
Q 5 3
Q 0 460
U 4 7
Q 1 0
Q 4 734
U 5 8
Q 3 8
Q 6 733
U 3 9
Q 4 3
Q 0 792
U 0 10
Q 2 6
Q 0 516
U 0 11
Q 5 1
Q 6 368
U 5 12
Q 12 12
Q 5 679
U 5 13
Q 9 10
Q 2 71
U 0 14
Q 13 9
Q 6 647
U 14 15
Q 6 3
Q 5 354
U 13 16
Q 7 15
Q 5 821
U 3 17
Q 2 7
Q 17 983
U 8 18
Q 11 17
Q 11 722
U 0 19
Q 18 16
Q 6 890
U 19 20
Q 16 4
Q 3 471
U 16 21
Q 18 0
Q 19 580
U 10 22
Q 16 3
Q 0 521
U 21 23
Q 15 0
Q 5 112
U 17 24
Q 10 19
Q 3 753
U 3 25
Q 1 0
Q 21 43
U 15 26
Q 16 15
Q 10 904
U 10 27
Q 25 21
Q 10 32
U 17 28
Q 24 2
Q 2 509
U 4 29
Q 1 20
Q 5 440
U 21 30
Q 1 7
Q 0 61
U 21 31
Q 0 19
Q 28 559
U 12 32
Q 17 25
Q 14 859
U 16 33
Q 8 29
Q 6 556
U 19 34
Q 23 15
Q 17 907
U 1 35
Q 3 12
Q 31 571
U 24 36
Q 0 13
Q 17 98
U 27 37
Q 36 10
Q 12 45
U 3 38
Q 4 2
Q 30 721
U 22 39
Q 22 4
Q 31 969
U 7 40
Q 34 40
Q 26 521
U 20 41
Q 39 7
Q 8 916
U 32 42
Q 18 40
Q 36 467
U 8 43
Q 14 33
Q 1 302
U 30 44
Q 21 11
Q 28 131
U 36 45
Q 43 21
Q 34 583
U 8 46
Q 37 0
Q 9 574
U 40 47
Q 37 4
Q 30 303
U 16 48
Q 15 26
Q 14 423
U 5 49
Q 18 31
Q 4 805
U 33 50
Q 48 4
Q 40 624
U 17 51
Q 18 33
Q 18 350
U 26 52
Q 21 33
Q 24 551
U 40 53
Q 33 22
Q 25 530
U 13 54
Q 50 28
Q 34 786
U 16 55
Q 31 16
Q 12 431
U 29 56
Q 38 14
Q 31 288
U 1 57
Q 15 4
Q 6 395
U 40 58
Q 46 21
Q 51 615
U 42 59
Q 7 51
Q 22 836
U 23 60
Q 28 23
Q 30 941
U 48 61
Q 33 34
Q 12 329
U 5 62
Q 12 46
Q 9 698
U 21 63
Q 34 12
Q 12 368
U 47 64
Q 34 30
Q 1 152
U 18 65
Q 56 33
Q 51 556
U 23 66
Q 40 5
Q 9 164
U 21 67
Q 9 32
Q 1 195
U 23 68
Q 58 55
Q 53 539
U 55 69
Q 48 36
Q 41 540
U 60 70
Q 16 40
Q 62 699
U 41 71
Q 30 29
Q 59 971
U 60 72
Q 56 20
Q 56 301
U 57 73
Q 56 52
Q 19 568
U 47 74
Q 51 32
Q 21 826
U 27 75
Q 11 48
Q 1 870
U 66 76
Q 51 40
Q 76 900
U 71 77
Q 16 19
Q 43 871
U 18 78
Q 36 26
Q 31 924
U 22 79
Q 20 59
Q 1 502
U 65 80
Q 72 33
Q 18 585
U 37 81
Q 43 2
Q 74 656
U 4 82
Q 3 14
Q 32 368
U 31 83
Q 22 4
Q 3 389
U 50 84
Q 20 17
Q 21 608
U 62 85
Q 15 61
Q 53 624
U 55 86
Q 39 16
Q 78 128
U 43 87
Q 54 11
Q 8 710
U 61 88
Q 65 45
Q 0 757
U 43 89
Q 88 18
Q 54 905
U 45 90
Q 40 1
Q 60 903
U 76 91
Q 90 22
Q 50 163
U 51 92
Q 26 90
Q 8 520
U 68 93
Q 56 49
Q 54 342
U 91 94
Q 35 39
Q 17 730
U 57 95
Q 33 54
Q 47 681
U 18 96
Q 83 37
Q 8 677
U 25 97
Q 26 12
Q 87 537
U 13 98
Q 51 75
Q 17 955
U 7 99
Q 50 6
Q 56 794
U 58 100
Q 78 26
Q 12 166
U 0 101
Q 43 16
Q 2 480
U 29 102
Q 68 54
Q 42 628
U 102 103
Q 6 33
Q 18 904
U 4 104
Q 0 46
Q 81 976
U 80 105
Q 82 101
Q 39 991
U 41 106
Q 39 34
Q 49 660
U 73 107
Q 24 9
Q 4 808
U 79 108
Q 51 98
Q 67 618
U 85 109
Q 4 93
Q 41 993
U 81 110
Q 34 0
Q 106 576
U 15 111
Q 29 31
Q 104 686
U 64 112
Q 92 108
Q 106 270
U 82 113
Q 31 93
Q 44 283
U 15 114
Q 109 24
Q 72 422
U 7 115
Q 85 88
Q 83 934
U 5 116
Q 84 54
Q 83 227
U 62 117
Q 69 77
Q 63 333
U 28 118
Q 100 87
Q 94 530
U 91 119
Q 57 69
Q 92 912
U 12 120
Q 91 32
Q 113 555
U 6 121
Q 10 21
Q 86 561
U 87 122
Q 68 77
Q 6 659
U 76 123
Q 48 89
Q 62 285
U 8 124
Q 124 87
Q 58 949
U 111 125
Q 86 70
Q 97 168
U 60 126
Q 60 27
Q 7 748
U 18 127
Q 68 91
Q 68 156
U 26 128
Q 38 17
Q 108 346
U 23 129
Q 37 117
Q 48 693
U 40 130
Q 10 32
Q 104 859
U 60 131
Q 105 86
Q 125 464
U 122 132
Q 84 80
Q 2 282
U 8 133
Q 72 71
Q 31 752
U 108 134
Q 76 100
Q 90 802
U 83 135
Q 135 135
Q 114 570
U 10 136
Q 105 2
Q 64 809
U 34 137
Q 10 49
Q 35 584
U 29 138
Q 71 37
Q 135 696
U 49 139
Q 60 119
Q 120 937
U 57 140
Q 41 12
Q 2 634
U 130 141
Q 102 80
Q 42 210
U 18 142
Q 134 136
Q 83 897
U 5 143
Q 40 37
Q 26 309
U 123 144
Q 83 87
Q 70 432
U 24 145
Q 82 84
Q 84 494
U 39 146
Q 67 144
Q 69 723
U 130 147
Q 125 27
Q 36 607
U 138 148
Q 0 37
Q 128 551
U 9 149
Q 40 5
Q 18 858
U 42 150
Q 4 130
Q 82 951
U 107 151
Q 110 84
Q 16 974
U 67 152
Q 11 113
Q 73 392
U 7 153
Q 86 16
Q 74 442
U 91 154
Q 94 149
Q 74 416
U 97 155
Q 117 1
Q 27 823
U 81 156
Q 53 40
Q 5 797
U 47 157
Q 110 134
Q 96 433
U 134 158
Q 83 61
Q 1 641
U 138 159
Q 154 129
Q 39 372
U 45 160
Q 22 150
Q 134 338
U 65 161
Q 63 25
Q 32 460
U 105 162
Q 96 102
Q 28 410
U 27 163
Q 79 158
Q 160 263
U 149 164
Q 142 102
Q 139 909
U 92 165
Q 21 133
Q 146 927
U 150 166
Q 16 161
Q 1 328
U 111 167
Q 52 48
Q 149 360
U 82 168
Q 114 97
Q 112 592
U 95 169
Q 167 168
Q 11 950
U 105 170
Q 31 61
Q 64 788
U 106 171
Q 93 126
Q 7 566
U 101 172
Q 61 42
Q 87 709
U 96 173
Q 89 60
Q 77 614
U 154 174
Q 33 31
Q 76 866
U 152 175
Q 44 128
Q 153 939
U 146 176
Q 72 31
Q 8 525
U 136 177
Q 129 138
Q 62 852
U 20 178
Q 110 118
Q 152 621
U 159 179
Q 83 13
Q 8 428
U 142 180
Q 165 86
Q 118 369
U 37 181
Q 82 81
Q 86 834
U 58 182
Q 106 126
Q 114 800
U 35 183
Q 49 70
Q 38 621
U 42 184
Q 116 45
Q 121 572
U 3 185
Q 138 141
Q 9 750
U 107 186
Q 129 177
Q 66 933
U 76 187
Q 105 180
Q 73 307
U 30 188
Q 116 48
Q 12 437
U 6 189
Q 135 23
Q 26 668
U 52 190
Q 163 166
Q 148 834
U 168 191
Q 1 173
Q 165 568
U 144 192
Q 76 145
Q 69 485
U 1 193
Q 35 61
Q 165 924
U 188 194
Q 8 17
Q 128 728
U 44 195
Q 55 25
Q 158 801
U 19 196
Q 3 196
Q 6 674
U 32 197
Q 118 183
Q 40 794
U 41 198
Q 4 140
Q 53 500
U 142 199
Q 177 82
Q 172 867
U 136 200
Q 174 9
Q 131 841
U 185 201
Q 11 170
Q 71 957
U 189 202
Q 131 180
Q 133 224
U 35 203
Q 137 103
Q 172 223
U 157 204
Q 140 127
Q 175 452
U 159 205
Q 203 204
Q 68 735
U 151 206
Q 58 84
Q 143 211
U 169 207
Q 76 90
Q 16 390
U 166 208
Q 64 4
Q 51 414
U 110 209
Q 105 66
Q 142 258
U 139 210
Q 163 16
Q 29 413
U 18 211
Q 66 48
Q 136 574
U 83 212
Q 16 63
Q 81 697
U 74 213
Q 176 124
Q 176 776
U 156 214
Q 124 49
Q 112 609
U 155 215
Q 123 162
Q 199 571
U 4 216
Q 22 200
Q 96 362
U 4 217
Q 55 159
Q 97 627
U 70 218
Q 158 81
Q 109 951
U 4 219
Q 18 54
Q 2 277
U 134 220
Q 45 46
Q 22 982
U 57 221
Q 10 118
Q 127 581
U 64 222
Q 105 139
Q 3 417
U 18 223
Q 6 13
Q 18 443
U 98 224
Q 106 190
Q 23 927
U 94 225
Q 198 203
Q 105 812
U 116 226
Q 155 137
Q 128 559
U 96 227
Q 80 65
Q 216 653
U 192 228
Q 23 114
Q 172 288
U 195 229
Q 30 221
Q 1 720
U 116 230
Q 171 226
Q 191 294
U 144 231
Q 149 77
Q 125 694
U 82 232
Q 211 42
Q 169 938
U 52 233
Q 65 77
Q 155 257
U 26 234
Q 137 151
Q 119 643
U 194 235
Q 85 19
Q 90 448
U 19 236
Q 166 232
Q 151 427
U 212 237
Q 201 74
Q 189 519
U 82 238
Q 132 19
Q 87 349
U 237 239
Q 6 95
Q 104 385
U 117 240
Q 19 35
Q 227 838
U 195 241
Q 44 134
Q 133 736
U 152 242
Q 232 170
Q 87 509
U 170 243
Q 77 48
Q 203 532
U 209 244
Q 27 99
Q 95 542
U 231 245
Q 13 153
Q 72 902
U 186 246
Q 81 146
Q 157 436
U 237 247
Q 91 230
Q 49 512
U 42 248
Q 69 161
Q 178 648
U 206 249
Q 192 104
Q 134 983
U 226 250
Q 52 138
Q 169 876
U 168 251
Q 149 241
Q 251 857
U 19 252
Q 211 4
Q 227 856
U 248 253
Q 29 110
Q 214 530
U 17 254
Q 10 162
Q 176 832
U 134 255
Q 183 246
Q 209 273
U 112 256
Q 199 247
Q 93 572
U 205 257
Q 171 153
Q 27 996
U 206 258
Q 81 134
Q 153 314
U 206 259
Q 86 152
Q 23 290
U 201 260
Q 164 75
Q 13 263
U 10 261
Q 203 108
Q 253 788
U 21 262
Q 37 222
Q 116 647
U 101 263
Q 22 105
Q 206 515
U 51 264
Q 94 118
Q 185 323
U 215 265
Q 205 58
Q 197 962
U 180 266
Q 73 97
Q 159 518
U 49 267
Q 132 244
Q 252 483
U 265 268
Q 157 172
Q 189 756
U 99 269
Q 52 268
Q 253 665
U 93 270
Q 262 37
Q 62 721
U 73 271
Q 108 27
Q 159 997
U 81 272
Q 65 0
Q 263 537
U 140 273
Q 250 73
Q 103 630
U 190 274
Q 49 22
Q 203 352
U 154 275
Q 201 222
Q 16 444
U 155 276
Q 117 161
Q 113 780
U 275 277
Q 187 158
Q 239 372
U 247 278
Q 47 187
Q 115 426
U 160 279
Q 200 86
Q 40 705
U 27 280
Q 132 55
Q 258 800
U 131 281
Q 100 7
Q 78 682
U 87 282
Q 161 143
Q 141 374
U 164 283
Q 262 192
Q 209 959
U 73 284
Q 73 116
Q 147 819
U 96 285
Q 269 92
Q 74 579
U 205 286
Q 229 146
Q 253 622
U 192 287
Q 117 31
Q 262 320
U 163 288
Q 229 286
Q 164 347
U 172 289
Q 107 288
Q 276 934
U 259 290
Q 48 271
Q 153 678
U 289 291
Q 290 77
Q 223 549
U 21 292
Q 176 124
Q 207 598
U 250 293
Q 106 128
Q 246 841
U 268 294
Q 144 271
Q 154 305
U 274 295
Q 219 50
Q 7 637
U 125 296
Q 37 163
Q 142 370
U 122 297
Q 274 13
Q 230 715
U 52 298
Q 29 125
Q 190 600
U 112 299
Q 74 85
Q 295 422
U 194 300
Q 132 55
Q 271 775
U 196 301
Q 92 254
Q 86 429
U 200 302
Q 255 218
Q 195 694
U 240 303
Q 85 220
Q 143 446
U 47 304
Q 28 42
Q 5 391
U 156 305
Q 135 87
Q 24 540
U 166 306
Q 145 96
Q 139 941
U 93 307
Q 256 62
Q 78 691
U 250 308
Q 43 295
Q 247 520
U 295 309
Q 277 274
Q 114 580
U 22 310
Q 286 100
Q 212 387
U 308 311
Q 16 201
Q 28 912
U 67 312
Q 87 170
Q 233 823
U 59 313
Q 92 171
Q 277 722
U 32 314
Q 136 222
Q 239 885
U 125 315
Q 67 154
Q 200 422
U 153 316
Q 117 31
Q 65 997
U 91 317
Q 259 123
Q 67 658
U 42 318
Q 89 253
Q 161 679
U 258 319
Q 94 136
Q 211 617
U 220 320
Q 169 32
Q 183 954
U 108 321
Q 245 70
Q 148 376
U 236 322
Q 302 64
Q 63 712
U 71 323
Q 234 243
Q 243 829
U 253 324
Q 76 227
Q 205 648
U 187 325
Q 51 286
Q 213 428
U 4 326
Q 8 106
Q 188 473
U 86 327
Q 111 40
Q 242 683
U 250 328
Q 144 274
Q 294 338
U 102 329
Q 143 162
Q 134 991
U 11 330
Q 131 19
Q 13 943
U 208 331
Q 225 319
Q 257 746
U 0 332
Q 227 69
Q 270 950
U 178 333
Q 174 105
Q 13 477
U 55 334
Q 304 290
Q 304 493
U 105 335
Q 179 107
Q 314 561
U 184 336
Q 275 4
Q 125 666
U 57 337
Q 25 290
Q 67 561
U 0 338
Q 70 152
Q 188 529
U 299 339
Q 247 143
Q 184 383
U 276 340
Q 123 217
Q 54 352
U 47 341
Q 284 150
Q 283 398
U 72 342
Q 73 119
Q 186 863
U 157 343
Q 253 207
Q 303 768
U 156 344
Q 309 333
Q 337 796
U 333 345
Q 178 293
Q 261 804
U 248 346
Q 42 127
Q 182 524
U 149 347
Q 222 14
Q 104 703
U 2 348
Q 77 182
Q 37 591
U 234 349
Q 332 138
Q 32 473
U 324 350
Q 240 145
Q 205 511
U 233 351
Q 233 184
Q 162 689
U 182 352
Q 320 14
Q 62 531
U 130 353
Q 208 210
Q 245 692
U 329 354
Q 45 210
Q 21 644
U 243 355
Q 299 188
Q 314 824
U 191 356
Q 77 255
Q 339 978
U 335 357
Q 312 199
Q 241 836
U 210 358
Q 46 312
Q 270 636
U 170 359
Q 66 312
Q 137 369
U 298 360
Q 6 175
Q 60 867
U 131 361
Q 343 126
Q 2 875
U 174 362
Q 212 304
Q 189 757
U 291 363
Q 188 166
Q 75 747
U 220 364
Q 63 294
Q 206 758
U 113 365
Q 72 86
Q 129 753
U 83 366
Q 51 219
Q 325 409
U 81 367
Q 176 316
Q 363 700
U 6 368
Q 92 86
Q 128 828
U 324 369
Q 146 22
Q 359 433
U 89 370
Q 314 361
Q 56 841
U 33 371
Q 9 273
Q 257 624
U 253 372
Q 133 7
Q 28 884
U 110 373
Q 332 127
Q 43 857
U 299 374
Q 352 114
Q 35 675
U 294 375
Q 55 349
Q 9 770
U 364 376
Q 310 115
Q 87 837
U 323 377
Q 289 260
Q 126 706
U 357 378
Q 261 16
Q 239 420
U 262 379
Q 143 332
Q 258 750
U 134 380
Q 83 46
Q 178 577
U 356 381
Q 238 159
Q 169 563
U 108 382
Q 21 7
Q 236 654
U 174 383
Q 333 10
Q 285 455
U 28 384
Q 131 337
Q 302 590
U 46 385
Q 44 148
Q 72 717
U 142 386
Q 142 77
Q 294 436
U 194 387
Q 289 46
Q 332 594
U 261 388
Q 46 150
Q 259 453
U 174 389
Q 200 99
Q 23 900
U 226 390
Q 59 217
Q 332 868
U 241 391
Q 223 149
Q 249 621
U 12 392
Q 354 216
Q 73 937
U 195 393
Q 51 45
Q 368 483
U 25 394
Q 191 134
Q 388 563
U 342 395
Q 132 210
Q 336 443
U 310 396
Q 259 381
Q 342 402
U 388 397
Q 176 267
Q 260 781
U 322 398
Q 347 234
Q 61 851
U 169 399
Q 126 365
Q 347 864
U 282 400
Q 40 33
Q 47 893
U 384 401
Q 201 51
Q 222 694
U 7 402
Q 346 46
Q 310 578
U 390 403
Q 389 354
Q 75 991
U 220 404
Q 286 331
Q 304 576
U 97 405
Q 102 187
Q 374 835
U 91 406
Q 253 65
Q 130 858
U 57 407
Q 308 62
Q 183 942
U 70 408
Q 166 23
Q 351 584
U 90 409
Q 256 179
Q 7 783
U 146 410
Q 356 373
Q 322 870
U 333 411
Q 239 74
Q 59 925
U 324 412
Q 91 382
Q 197 711
U 333 413
Q 165 244
Q 400 466
U 268 414
Q 104 45
Q 278 537
U 104 415
Q 219 109
Q 170 538
U 165 416
Q 349 75
Q 244 729
U 240 417
Q 200 344
Q 217 701
U 207 418
Q 23 49
Q 405 698
U 128 419
Q 66 137
Q 266 828
U 105 420
Q 279 78
Q 406 561
U 241 421
Q 135 366
Q 299 605
U 66 422
Q 77 353
Q 34 836
U 382 423
Q 24 136
Q 85 980
U 191 424
Q 252 142
Q 25 922
U 200 425
Q 382 331
Q 0 711
U 250 426
Q 235 290
Q 25 619
U 8 427
Q 234 74
Q 368 905
U 272 428
Q 389 91
Q 336 537
U 260 429
Q 290 248
Q 249 919
U 116 430
Q 100 103
Q 280 844
U 181 431
Q 289 353
Q 398 821
U 388 432
Q 101 332
Q 307 530
U 254 433
Q 291 363
Q 96 855
U 388 434
Q 223 83
Q 273 978
U 355 435
Q 240 271
Q 324 729
U 262 436
Q 317 262
Q 126 728
U 302 437
Q 379 14
Q 68 914
U 109 438
Q 236 414
Q 376 735
U 323 439
Q 143 34
Q 368 460
U 347 440
Q 238 400
Q 183 844
U 412 441
Q 199 117
Q 368 730
U 86 442
Q 93 230
Q 177 517
U 52 443
Q 277 283
Q 264 767
U 253 444
Q 28 185
Q 26 476
U 46 445
Q 343 8
Q 224 967
U 6 446
Q 92 2
Q 194 761
U 7 447
Q 106 93
Q 123 562
U 207 448
Q 187 341
Q 42 829
U 241 449
Q 178 132
Q 320 936
U 19 450
Q 13 57
Q 48 617
U 84 451
Q 198 127
Q 113 530
U 429 452
Q 28 232
Q 180 830
U 218 453
Q 0 234
Q 3 531
U 310 454
Q 93 226
Q 150 646
U 290 455
Q 53 392
Q 206 477
U 166 456
Q 411 116
Q 336 880
U 180 457
Q 34 43
Q 376 466
U 445 458
Q 155 181
Q 289 865
U 186 459
Q 384 260
Q 397 999
U 362 460
Q 250 127
Q 454 802
U 265 461
Q 305 457
Q 137 873
U 258 462
Q 116 454
Q 402 652
U 374 463
Q 308 316
Q 210 496
U 226 464
Q 62 337
Q 318 891
U 100 465
Q 107 456
Q 272 801
U 445 466
Q 85 408
Q 361 953
U 406 467
Q 419 124
Q 426 582
U 419 468
Q 252 349
Q 162 669
U 64 469
Q 111 386
Q 55 593
U 381 470
Q 402 449
Q 29 902
U 291 471
Q 278 239
Q 295 694
U 360 472
Q 87 302
Q 161 823
U 72 473
Q 434 289
Q 325 904
U 369 474
Q 300 197
Q 209 682
U 342 475
Q 293 422
Q 325 953
U 364 476
Q 31 113
Q 319 520
U 387 477
Q 295 194
Q 130 866
U 456 478
Q 324 30
Q 316 899
U 468 479
Q 375 67
Q 137 722
U 327 480
Q 55 159
Q 258 752
U 405 481
Q 296 64
Q 200 629
U 321 482
Q 463 424
Q 324 843
U 465 483
Q 215 457
Q 474 630
U 439 484
Q 265 383
Q 169 763
U 468 485
Q 42 425
Q 352 771
U 7 486
Q 295 347
Q 183 864
U 95 487
Q 186 228
Q 441 772
U 254 488
Q 427 335
Q 302 849
U 318 489
Q 155 38
Q 322 610
U 218 490
Q 354 256
Q 484 660
U 331 491
Q 43 110
Q 421 623
U 63 492
Q 468 75
Q 383 697
U 454 493
Q 439 25
Q 30 506
U 195 494
Q 298 408
Q 4 601
U 462 495
Q 239 409
Q 70 797
U 113 496
Q 470 227
Q 222 532
U 345 497
Q 174 439
Q 189 890
U 260 498
Q 20 471
Q 43 590
U 163 499
Q 377 239
Q 423 961
U 169 500
Q 152 157
Q 448 539
U 2 501
Q 9 6
Q 130 731
U 96 502
Q 180 215
Q 337 736
U 250 503
Q 2 415
Q 153 769
U 67 504
Q 384 126
Q 228 526
U 380 505
Q 34 31
Q 139 557
U 194 506
Q 8 434
Q 459 841
U 454 507
Q 323 422
Q 217 539
U 313 508
Q 246 449
Q 311 539
U 237 509
Q 295 430
Q 358 646
U 363 510
Q 17 498
Q 110 643
U 140 511
Q 256 173
Q 398 953
U 58 512
Q 210 96
Q 267 521
U 333 513
Q 137 288
Q 380 759
U 31 514
Q 48 484
Q 494 611
U 476 515
Q 174 456
Q 171 974
U 435 516
Q 280 147
Q 264 885
U 385 517
Q 140 83
Q 14 525
U 446 518
Q 209 179
Q 340 996
U 341 519
Q 502 314
Q 223 856
U 291 520
Q 68 485
Q 44 747
U 221 521
Q 65 157
Q 439 682
U 273 522
Q 304 72
Q 0 927
U 444 523
Q 517 247
Q 386 767
U 194 524
Q 318 387
Q 376 556
U 124 525
Q 263 137
Q 387 732
U 323 526
Q 509 11
Q 406 984
U 16 527
Q 251 305
Q 64 878
U 42 528
Q 475 259
Q 233 889
U 162 529
Q 494 49
Q 502 565
U 440 530
Q 344 57
Q 399 864
U 127 531
Q 420 3
Q 530 857
U 379 532
Q 23 338
Q 450 731
U 530 533
Q 189 466
Q 491 576
U 26 534
Q 300 244
Q 411 685
U 341 535
Q 91 93
Q 93 690
U 346 536
Q 316 437
Q 53 549
U 414 537
Q 503 12
Q 355 579
U 485 538
Q 349 39
Q 282 731
U 356 539
Q 373 8
Q 284 740
U 510 540
Q 409 337
Q 79 954
U 378 541
Q 534 51
Q 208 587
U 305 542
Q 302 225
Q 331 781
U 260 543
Q 330 95
Q 237 558
U 122 544
Q 467 119
Q 471 933
U 23 545
Q 397 233
Q 18 979
U 291 546
Q 160 168
Q 515 938
U 301 547
Q 386 18
Q 279 633
U 263 548
Q 544 150
Q 429 785
U 479 549
Q 331 148
Q 182 780
U 326 550
Q 450 143
Q 472 555
U 98 551
Q 261 369
Q 238 826
U 112 552
Q 349 492
Q 504 763
U 410 553
Q 383 286
Q 186 752
U 247 554
Q 314 525
Q 481 622
U 521 555
Q 172 393
Q 178 979
U 295 556
Q 386 223
Q 268 686
U 521 557
Q 244 156
Q 411 597
U 122 558
Q 45 318
Q 193 841
U 420 559
Q 403 439
Q 154 688
U 501 560
Q 369 23
Q 354 783
U 290 561
Q 439 137
Q 233 756
U 18 562
Q 414 99
Q 525 661
U 115 563
Q 268 338
Q 433 999
U 145 564
Q 71 185
Q 311 685
U 225 565
Q 482 44
Q 230 589
U 92 566
Q 339 524
Q 149 876
U 50 567
Q 74 367
Q 396 591
U 383 568
Q 137 310
Q 250 581
U 451 569
Q 77 90
Q 459 959
U 485 570
Q 391 339
Q 66 650
U 255 571
Q 516 412
Q 137 655
U 109 572
Q 189 201
Q 13 920
U 245 573
Q 363 153
Q 567 611
U 232 574
Q 517 330
Q 107 755
U 302 575
Q 54 18
Q 471 877
U 409 576
Q 54 363
Q 80 693
U 228 577
Q 566 156
Q 136 925
U 151 578
Q 101 141
Q 269 970
U 97 579
Q 6 486
Q 124 858
U 475 580
Q 26 403
Q 329 700
U 302 581
Q 475 394
Q 151 820
U 132 582
Q 165 520
Q 576 944
U 118 583
Q 221 210
Q 266 969
U 427 584
Q 444 66
Q 304 943
U 76 585
Q 47 61
Q 70 996
U 439 586
Q 130 358
Q 337 975
U 422 587
Q 369 346
Q 187 720
U 34 588
Q 284 256
Q 314 878
U 114 589
Q 281 39
Q 311 729
U 392 590
Q 104 258
Q 479 649
U 345 591
Q 117 412
Q 214 827
U 178 592
Q 175 345
Q 130 988
U 86 593
Q 455 455
Q 516 976
U 385 594
Q 18 413
Q 566 892
U 243 595
Q 444 274
Q 275 872
U 475 596
Q 431 446
Q 561 952
U 138 597
Q 262 484
Q 184 665
U 481 598
Q 523 182
Q 113 798
U 145 599
Q 11 535
Q 72 695
U 226 600
Q 101 112
Q 128 867
U 129 601
Q 507 230
Q 187 681
U 198 602
Q 267 475
Q 583 948
U 333 603
Q 515 255
Q 378 834
U 200 604
Q 567 88
Q 313 980
U 222 605
Q 28 69
Q 446 740
U 438 606
Q 83 101
Q 302 829
U 547 607
Q 175 473
Q 31 854
U 354 608
Q 549 596
Q 297 972
U 183 609
Q 465 347
Q 447 667
U 283 610
Q 260 295
Q 332 967
U 230 611
Q 235 236
Q 431 961
U 532 612
Q 612 238
Q 74 985
U 127 613
Q 568 410
Q 43 897
U 91 614
Q 340 491
Q 252 817
U 157 615
Q 194 295
Q 444 863
U 432 616
Q 508 356
Q 45 667
U 338 617
Q 395 46
Q 378 684
U 457 618
Q 7 550
Q 149 721
U 298 619
Q 581 551
Q 57 761
U 411 620
Q 412 164
Q 179 942
U 574 621
Q 33 523
Q 285 677
U 301 622
Q 221 357
Q 123 749
U 548 623
Q 208 410
Q 459 888
U 34 624
Q 297 599
Q 549 786
U 481 625
Q 575 272
Q 236 728
U 565 626
Q 463 434
Q 421 695
U 224 627
Q 516 29
Q 21 970
U 490 628
Q 568 130
Q 9 987
U 574 629
Q 238 218
Q 80 702
U 224 630
Q 614 623
Q 9 814
U 80 631
Q 410 247
Q 387 902
U 340 632
Q 128 188
Q 43 697
U 75 633
Q 61 57
Q 345 860
U 249 634
Q 36 451
Q 606 667
U 227 635
Q 148 453
Q 625 824
U 589 636
Q 619 3
Q 116 924
U 184 637
Q 604 553
Q 133 997
U 539 638
Q 34 173
Q 216 736
U 600 639
Q 488 243
Q 251 946
U 263 640
Q 205 8
Q 95 698
U 489 641
Q 625 198
Q 322 806
U 238 642
Q 630 442
Q 110 931
U 394 643
Q 101 524
Q 492 656
U 528 644
Q 310 197
Q 335 850
U 636 645
Q 512 371
Q 182 872
U 497 646
Q 573 464
Q 527 989
U 529 647
Q 470 471
Q 314 771
U 610 648
Q 441 579
Q 84 665
U 272 649
Q 301 609
Q 482 657
U 303 650
Q 552 305
Q 582 950
U 330 651
Q 353 344
